id,clave,name,nacionalidad,designador_iata,linea_ferrea,clavetransporte_id/id
cfd_mx_traslado.cartaporte_estaciones_PM056,PM056,Lázaro Cárdenas,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM057,PM057,San Blas,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM058,PM058,Nuevo Vallarta,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM059,PM059,Cruz de Huanacaxtle,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM060,PM060,Chacala,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM061,PM061,Salina Cruz,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM062,PM062,Bahías de Huatulco,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM063,PM063,Puerto Escondido,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM064,PM064,Puerto Angel,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM065,PM065,Puerto Juárez,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM066,PM066,Isla Mujeres,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM067,PM067,Cancún,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM068,PM068,Puerto Morelos,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM069,PM069,Playa del Carmen,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM070,PM070,Punta Venado,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM071,PM071,Puerta Aventuras,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM072,PM072,Punta Allen,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM073,PM073,Majahual,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM074,PM074,La Aguada,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM075,PM075,Xcalac,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM076,PM076,Chetumal,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM077,PM077,Holbox,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM078,PM078,Mazatlán,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM079,PM079,Topolobampo,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM080,PM080,Altata,México,,,cartaporte_clavetransporte_02
