id,clave,name,description
cfd_mx_traslado.cartaporte_unidadpeso_HLT,HLT,Hectolitro,"Es una unidad de volumen equivalente a cien litros, representado por el símbolo hl. Es el segundo múltiplo del litro y también equivale a 100 decímetros cúbicos (0,1 metros cúbicos)."
cfd_mx_traslado.cartaporte_unidadpeso_CLT,CLT,Centilitro,"Medida de volumen, de símbolo cl, que es igual a la centésima parte de un litro."
cfd_mx_traslado.cartaporte_unidadpeso_DMA,DMA,Decámetro cúbico,
cfd_mx_traslado.cartaporte_unidadpeso_H19,H19,Hectómetro cúbico,
cfd_mx_traslado.cartaporte_unidadpeso_H20,H20,Kilómetro cúbico,
cfd_mx_traslado.cartaporte_unidadpeso_M71,M71,Metro cúbico por pascal (joules),"Unidad de Energía del sistema internacional, metro elevado al exponente 3 y dividido por la unidad pascal."
cfd_mx_traslado.cartaporte_unidadpeso_DLT,DLT,Decilitro,
cfd_mx_traslado.cartaporte_unidadpeso_4G,4G,Microlitro,
cfd_mx_traslado.cartaporte_unidadpeso_K6,K6,Kilolitro,
cfd_mx_traslado.cartaporte_unidadpeso_A44,A44,Decalitro,
cfd_mx_traslado.cartaporte_unidadpeso_G94,G94,Centímetro cúbico por bar,
cfd_mx_traslado.cartaporte_unidadpeso_G95,G95,Litro por bar,
cfd_mx_traslado.cartaporte_unidadpeso_G96,G96,Metro cúbico por bar,
cfd_mx_traslado.cartaporte_unidadpeso_G97,G97,Mililitro por bar ,
cfd_mx_traslado.cartaporte_unidadpeso_5I,5I,Pies cúbicos estándar,Utilice estándar (código común WSD)
cfd_mx_traslado.cartaporte_unidadpeso_INQ,INQ,Pulgada cúbica,Sinónimo: pulgada cuadrada
cfd_mx_traslado.cartaporte_unidadpeso_FTQ,FTQ,Pie cúbico,
cfd_mx_traslado.cartaporte_unidadpeso_YDQ,YDQ,Yarda cúbica,
