id,clave,name
cfd_mx_traslado.cartaporte_embalaje_6HB1,6HB1,"Envases y embalajes compuestos de Recipiente de plástico, con un bidón (tambor) exterior de aluminio"
cfd_mx_traslado.cartaporte_embalaje_6HB2,6HB2,"Envases y embalajes compuestos de Recipiente de plástico, con una jaula o caja de aluminio"
cfd_mx_traslado.cartaporte_embalaje_6HC,6HC,"Envases y embalajes compuestos de Recipiente de plástico, con una caja de madera"
cfd_mx_traslado.cartaporte_embalaje_6HD1,6HD1,"Envases y embalajes compuestos de Recipiente de plástico, con un bidón (tambor) de madera contrachapada"
cfd_mx_traslado.cartaporte_embalaje_6HD2,6HD2,"Envases y embalajes compuestos de Recipiente de plástico, con una caja de madera contrachapada"
cfd_mx_traslado.cartaporte_embalaje_6HG1,6HG1,"Envases y embalajes compuestos de Recipiente de plástico, con un bidón (tambor) de cartón"
cfd_mx_traslado.cartaporte_embalaje_6HG2,6HG2,"Envases y embalajes compuestos de Recipiente de plástico, con una caja de cartón"
cfd_mx_traslado.cartaporte_embalaje_6HH1,6HH1,"Envases y embalajes compuestos de Recipiente de plástico, con un bidón (tambor) de plástico"
cfd_mx_traslado.cartaporte_embalaje_6HH2,6HH2,"Envases y embalajes compuestos de Recipiente de plástico, con caja de plástico rígido"
cfd_mx_traslado.cartaporte_embalaje_6PA1,6PA1,"Envases y embalajes compuestos de Recipiente de vidrio, porcelana o de gres, con un bidón (tambor) de acero"
cfd_mx_traslado.cartaporte_embalaje_6PA2,6PA2,"Envases y embalajes compuestos de Recipiente de vidrio, porcelana o de gres, con una jaula o una caja de acero"
cfd_mx_traslado.cartaporte_embalaje_6PB1,6PB1,"Envases y embalajes compuestos de Recipiente de vidrio, porcelana o de gres, con un bidón (tambor) exterior de aluminio"
cfd_mx_traslado.cartaporte_embalaje_6PB2,6PB2,"Envases y embalajes compuestos de Recipiente de vidrio, porcelana o de gres, con una jaula o una caja de aluminio"
cfd_mx_traslado.cartaporte_embalaje_6PC,6PC,"Envases y embalajes compuestos de Recipiente de vidrio, porcelana o de gres, con una caja de madera"
cfd_mx_traslado.cartaporte_embalaje_6PD1,6PD 1,"Envases y embalajes compuestos de Recipiente de vidrio, porcelana o de gres, con bidón (tambor) de madera contrachapada"
cfd_mx_traslado.cartaporte_embalaje_6PD2,6PD2,"Envases y embalajes compuestos de Recipiente de vidrio, porcelana o de gres, con canasta de mimbre"
cfd_mx_traslado.cartaporte_embalaje_6PG1,6PG1,"Envases y embalajes compuestos de Recipiente de vidrio, porcelana o de gres, con un bidón (tambor) de cartón"
cfd_mx_traslado.cartaporte_embalaje_6PG2,6PG2,"Envases y embalajes compuestos de Recipiente de vidrio, porcelana o de gres, con una caja de cartón"
cfd_mx_traslado.cartaporte_embalaje_6PH1,6PH1,"Envases y embalajes compuestos de Recipiente de vidrio, porcelana o de gres, con un envase y embalaje de plástico expandido"
cfd_mx_traslado.cartaporte_embalaje_6PH2,6PH2,"Envases y embalajes compuestos de Recipiente de vidrio, porcelana o de gres, con un envase y embalaje de plástico rígido"
cfd_mx_traslado.cartaporte_embalaje_7H1,7H1,Bultos de Plástico
cfd_mx_traslado.cartaporte_embalaje_7L1,7L1,Bultos de Tela
cfd_mx_traslado.cartaporte_embalaje_Z01,Z01,No aplica
