id,clave,name
cfd_mx_traslado.cartaporte_materialpeligroso_M0042,M0042,"DINITRATO DE DIETILENGLICOL DESENSIBILIZADO con un mínimo del 25 %, en masa, de flemador no volátil insoluble en agua (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0043,M0043,"DINITROFENOL seco o humedecido con menos del 15 %, en masa, de agua (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0044,M0044,"DINITROFENOLATOS de metales alcalinos, secos o humedecidos con
menos del 15 %, en masa, de agua (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0045,M0045,"DINITRORRESORCINOL seco o humedecido con menos del 15 %, en masa, de agua (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0046,M0046,HEXANITRODIFENILAMINA (DIPICRILAMINA; HEXILO) (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0047,M0047,"EXPLOSIVOS PARA VOLADURAS, TIPO A (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0048,M0048,"EXPLOSIVOS PARA VOLADURAS, TIPO B (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0049,M0049,"EXPLOSIVOS PARA VOLADURAS, TIPO C (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0050,M0050,"EXPLOSIVOS PARA VOLADURAS, TIPO D (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0051,M0051,BENGALAS DE SUPERFICIE (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0052,M0052,BENGALAS AÉREAS (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0053,M0053,PÓLVORA DE DESTELLOS (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0054,M0054,"DISPOSITIVOS EXPLOSIVOS DE FRACTURACIÓN sin detonador, para pozos de petróleo"
cfd_mx_traslado.cartaporte_materialpeligroso_M0055,M0055,MECHA NO DETONANTE (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0056,M0056,MECHA DETONANTE con envoltura metálica (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0057,M0057,"MECHA DE IGNICIÓN, tubular, con envoltura metálica (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0058,M0058,"MECHA DETONANTE DE EFECTO REDUCIDO, con envoltura metálica (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0059,M0059,MECHA DE SEGURIDAD (MECHA LENTA o MECHA BICKFORD) (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0060,M0060,ESPOLETAS DETONANTES (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0061,M0061,ESPOLETAS DETONANTES (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0062,M0062,"GRANADAS DE EJERCICIOS, de mano o de fusil (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0063,M0063,"GUANILNITROSAMINO- GUANILIDENHIDRAZINA HUMEDECIDA con un mínimo del 30 %, en masa, de agua (Producto o material explosivo)"
